decay_rate,eval_acc,eval_f1,eval_pre,eval_recall,num_new_labeled,num_pseudo_labeled,num_total_labeled,pseudo_acc,round,threshold
0.001,0.6378205128205128,0.6064237191891059,0.7229654307548816,0.5264423076923077,,,997.0,,0.0,0.046
0.001,0.6598397435897436,0.6305975302671775,0.7203442691228329,0.5637019230769231,200,0,1197.0,,0.0,0.046
0.001,0.6832852564102564,0.6657396432680961,0.733692602469371,0.6109775641025641,200,0,1397.0,,1.0,0.046
0.001,0.6875,0.6766524994984652,0.7292049152728839,0.6326121794871795,200,0,1597.0,,2.0,0.046
0.001,0.6951121794871795,0.6847444214881995,0.7338320727531726,0.6430288461538461,200,0,1797.0,,3.0,0.046
0.001,0.7107211538461539,0.6925263420129434,0.7365092826195252,0.6546474358974359,200,0,1997.0,,4.0,0.046
0.001,0.7199358974358975,0.7073587416074215,0.744752762409357,0.6746794871794872,200,0,2197.0,,5.0,0.046
0.001,0.719948717948718,0.7148066086646838,0.7489143908023834,0.6846955128205128,200,0,2397.0,,6.0,0.046
0.001,0.7263621794871795,0.7233465657784388,0.7526563581747886,0.6971153846153846,200,0,2597.0,,7.0,0.046
0.001,0.7319711538461539,0.7301245782619867,0.7588652739158044,0.7043269230769231,200,0,2797.0,,8.0,0.046
0.001,0.7395833333333334,0.7364823313859793,0.7622564435005188,0.7131410256410257,200,0,2997.0,,9.0,0.046
0.001,0.7864583333333334,0.7466260920732449,0.7719516043479626,0.7235576923076923,200,0,3197.0,,10.0,0.046
0.001,0.7864583333333334,0.7466260920732449,0.7719516043479626,0.7235576923076923,200,0,3397.0,,11.0,0.046
0.001,0.7864583333333334,0.7471782633891473,0.768260257366376,0.7275641025641025,200,0,3597.0,,12.0,0.046
0.001,0.7864583333333334,0.7547446183669262,0.778752577610505,0.7327724358974359,200,0,3797.0,,13.0,0.046
0.001,0.7864583333333334,0.7673141757647196,0.7864024914227999,0.7495993589743589,200,0,3997.0,,14.0,0.046
0.001,0.7864583333333334,0.7712366030766413,0.791108794701405,0.7528044871794872,200,0,4197.0,,15.0,0.046
0.001,0.7864583333333334,0.773445066733238,0.795545545908121,0.7532051282051282,200,0,4397.0,,16.0,0.046
0.001,0.7864583333333334,0.7731845745673547,0.7916753001702137,0.7560096153846154,200,0,4597.0,,17.0,0.046
0.001,0.7864583333333334,0.7832000377850655,0.8029496654486045,0.764823717948718,200,0,4797.0,,18.0,0.046
0.001,0.7864583333333334,0.785733624910697,0.8062072365711896,0.7668269230769231,200,0,4997.0,,19.0,0.046
0.001,0.7864583333333334,0.785733624910697,0.8062072365711896,0.7668269230769231,200,0,5197.0,,20.0,0.046
0.001,0.7864583333333334,0.7858307697834113,0.805405474626101,0.7676282051282052,200,0,5397.0,,21.0,0.046
0.001,0.7928685897435898,0.7893168039810963,0.8061496263895279,0.7736378205128205,200,0,5597.0,,22.0,0.046
0.001,0.7928685897435898,0.7893168039810963,0.8061496263895279,0.7736378205128205,200,0,5797.0,,23.0,0.046
0.001,0.7928685897435898,0.7893168039810963,0.8061496263895279,0.7736378205128205,200,0,5997.0,,24.0,0.046
0.001,0.7928685897435898,0.7893168039810963,0.8061496263895279,0.7736378205128205,200,0,6197.0,,25.0,0.046
0.001,0.7928685897435898,0.7893168039810963,0.8061496263895279,0.7736378205128205,200,0,6397.0,,26.0,0.046
