decay_rate,eval_acc,eval_f1,eval_pre,eval_recall,num_new_labeled,num_pseudo_labeled,num_total_labeled,pseudo_acc,round,threshold
0.001,0.6868241890268322,0.6608331532157513,0.7946007956874146,0.5682819382782501,,,995.0,,0.0,0.046
0.001,0.7509010812975571,0.7463668147277297,0.8618510424923697,0.6599919903407252,200,0,1195.0,,1.0,0.046
0.001,0.7733279935923107,0.769532745558594,0.848686135717521,0.7056467760836166,200,0,1395.0,,2.0,0.046
0.001,0.7921505806968362,0.7917522755106498,0.8578921505867313,0.736884261065595,200,0,1595.0,,3.0,0.046
0.001,0.803764517420905,0.8075154219382182,0.8695695209751427,0.7549058870167363,200,0,1795.0,,4.0,0.046
0.001,0.8093712454945935,0.8128081776640346,0.8703507868633492,0.7637164597039611,200,0,1995.0,,5.0,0.046
0.001,0.8141770124148979,0.8170630393574416,0.8664360213957646,0.7741289546979538,200,0,2195.0,,6.0,0.046
0.001,0.8237885462555066,0.8277696586629129,0.8726463729875967,0.7881457748821749,200,0,2395.0,,7.0,0.046
0.001,0.8277933520224269,0.8329534243477503,0.8665787219332847,0.802563075643088,200,0,2595.0,,8.0,0.046
0.001,0.8342010412494995,0.8400734246469375,0.8720885059763824,0.8109731677536206,200,0,2795.0,,9.0,0.046
0.001,0.8454144973968762,0.8489128787325628,0.8814318255037606,0.8193832598641533,200,0,2995.0,,10.0,0.046
0.001,0.8530236283540248,0.8587257742022437,0.8898357059366473,0.8301962354348381,200,0,3195.0,,11.0,0.046
0.001,0.8570284341209451,0.861046566049433,0.8915904407077281,0.8329995994716823,200,0,3395.0,,12.0,0.046
0.001,0.8622346816179415,0.8626963057468354,0.8877479757458676,0.8394072886987548,200,0,3595.0,,13.0,0.046
0.001,0.8654385262314778,0.8715584448303373,0.8984129419792735,0.8466159390792113,200,0,3795.0,,14.0,0.046
0.001,0.867440929114938,0.8693793207872472,0.8943057443601969,0.8462154585025193,200,0,3995.0,,15.0,0.046
0.001,0.867440929114938,0.8736718818336474,0.8957322914217489,0.8530236283062839,200,0,4195.0,,16.0,0.046
0.001,0.867440929114938,0.8759345457608289,0.8950502932143297,0.8578293952265882,200,0,4395.0,,17.0,0.046
0.001,0.868440929114938,0.8776842039443992,0.89783827013429,0.8586303563799722,200,0,4595.0,,18.0,0.046
0.001,0.868440929114938,0.8776622675254816,0.8978133989803114,0.8586303563799722,200,0,4795.0,,19.0,0.046
0.001,0.868440929114938,0.8776622675254816,0.8978133989803114,0.8586303563799722,200,0,4995.0,,20.0,0.046
0.001,0.868440929114938,0.8776622675254816,0.8978133989803114,0.8586303563799722,200,0,5195.0,,21.0,0.046
0.001,0.8692539046856227,0.8812473175713765,0.9005200328662675,0.8630356427235846,200,0,5395.0,,22.0,0.046
0.001,0.8712539046856227,0.8812473175713765,0.9005200328662675,0.8630356427235846,200,0,5595.0,,23.0,0.046
0.001,0.8712539046856227,0.8795431668776534,0.8982465573201238,0.8618342009935085,200,0,5795.0,,24.0,0.046
0.001,0.8712539046856227,0.8795431668776534,0.8982465573201238,0.8618342009935085,200,0,5995.0,,25.0,0.046
0.001,0.8712539046856227,0.8824473935267808,0.9012756576335664,0.8646375650303527,200,0,6195.0,,26.0,0.046
0.001,0.8712539046856227,0.8824473935267808,0.9012756576335664,0.8646375650303527,200,0,6395.0,,27.0,0.046
0.001,0.8712539046856227,0.8824473935267808,0.9012756576335664,0.8646375650303527,200,0,6595.0,,28.0,0.046
0.001,0.8712539046856227,0.8824473935267808,0.9012756576335664,0.8646375650303527,200,0,6795.0,,29.0,0.046
0.001,0.8738558269923908,0.8824473935267808,0.9012756576335664,0.8646375650303527,200,0,6995.0,,30.0,0.046
0.001,0.8738558269923908,0.8824473935267808,0.9012756576335664,0.8646375650303527,200,0,7195.0,,31.0,0.046
0.001,0.874656788145775,0.8788913898722,0.8986955488687713,0.8602322786867403,200,0,7395.0,,32.0,0.046
0.001,0.874656788145775,0.8788913898722,0.8986955488687713,0.8602322786867403,200,0,7595.0,,33.0,0.046
0.001,0.874656788145775,0.8788913898722,0.8986955488687713,0.8602322786867403,200,0,7795.0,,34.0,0.046
0.001,0.874656788145775,0.8788913898722,0.8986955488687713,0.8602322786867403,200,0,7995.0,,35.0,0.046
0.001,0.874656788145775,0.8788913898722,0.8986955488687713,0.8602322786867403,200,0,8195.0,,36.0,0.046
0.001,0.878656788145775,0.8788913898722,0.8986955488687713,0.8602322786867403,200,0,8395.0,,37.0,0.046
0.001,0.878656788145775,0.8788913898722,0.8986955488687713,0.8602322786867403,200,0,8595.0,,38.0,0.046
0.001,0.878656788145775,0.8788913898722,0.8986955488687713,0.8602322786867403,200,0,8795.0,,39.0,0.046
0.001,0.878656788145775,0.8788913898722,0.8986955488687713,0.8602322786867403,200,0,8995.0,,40.0,0.046
0.001,0.878656788145775,0.8788913898722,0.8986955488687713,0.8602322786867403,200,0,9195.0,,41.0,0.046
0.001,0.878656788145775,0.8788913898722,0.8986955488687713,0.8602322786867403,200,0,9395.0,,42.0,0.046
0.001,0.878656788145775,0.8841581133827955,0.9061484972285804,0.8634361233002766,200,0,9595.0,,43.0,0.046
0.001,0.878656788145775,0.8841581133827955,0.9061484972285804,0.8634361233002766,200,0,9795.0,,44.0,0.046
0.001,0.878656788145775,0.8841581133827955,0.9061484972285804,0.8634361233002766,200,0,9995.0,,45.0,0.046
0.001,0.878656788145775,0.8841581133827955,0.9061484972285804,0.8634361233002766,8,0,10003.0,,46.0,0.046
