decay_rate,eval_acc,eval_f1,eval_pre,eval_recall,num_new_labeled,num_pseudo_labeled,num_total_labeled,pseudo_acc,round,threshold
0.001,0.6868241890268322,0.6608331532157513,0.7946007956874146,0.5682819382782501,,,995.0,,0.0,0.046
0.001,0.7188626351621946,0.7168206568235963,0.7892548969663712,0.658390068033957,200.0,0.0,1195.0,,1.0,0.046
0.001,0.7400881057268722,0.7423096863470127,0.8035555278772729,0.6908289947460114,200.0,0.0,1395.0,,2.0,0.046
0.001,0.7673207849419303,0.7671505442656753,0.8170037626217592,0.723668402034758,200.0,0.0,1595.0,,3.0,0.046
0.001,0.7881457749299159,0.7868520379257431,0.834137276023877,0.7452943531761277,200.0,0.0,1795.0,,4.0,0.046
0.001,0.7929515418502202,0.7891487560847018,0.8267175217938987,0.7553063675934284,200.0,0.0,1995.0,,5.0,0.046
0.001,0.8005606728073689,0.8032178087477021,0.8379346154239304,0.7717260712378017,200.0,0.0,2195.0,,6.0,0.046
0.001,0.8089707649179014,0.8131526828671533,0.8434361757924664,0.7853424108453306,200.0,0.0,2395.0,,7.0,0.046
0.001,0.8177813376051262,0.8191799213516746,0.8526723003406548,0.7885462554588669,200.0,0.0,2595.0,,8.0,0.046
0.001,0.8249899879855827,0.8339215599874711,0.867298086452446,0.8033640367964721,200.0,0.0,2795.0,,9.0,0.046
0.001,0.8317981577893472,0.8366331360222675,0.8648712622150212,0.8105726871769287,200.0,0.0,2995.0,,10.0,0.046
0.001,0.8342010412494995,0.8419002124343722,0.8708905428468966,0.8149779735205409,200.0,0.0,3195.0,,11.0,0.046
0.001,0.8434120945134161,0.8512339684836235,0.8777222012251341,0.8265919102446098,200.0,0.0,3395.0,,12.0,0.046
0.001,0.8510212254705647,0.8544273299363121,0.8804887901748425,0.8301962354348381,200.0,0.0,3595.0,,13.0,0.046
0.001,0.8554265118141771,0.8603414780004147,0.8853529661141923,0.8370044052386026,200.0,0.0,3795.0,,14.0,0.046
0.001,0.8554265118141771,0.8603414780004147,0.8853529661141923,0.8370044052386026,200.0,0.0,3995.0,,15.0,0.046
0.001,0.8590308370044053,0.864229722384887,0.8881489910218159,0.841810172158907,200.0,0.0,4195.0,,16.0,0.046
0.001,0.8626351621946335,0.8672177333520515,0.8915054021380069,0.8446135361957512,200.0,0.0,4395.0,,17.0,0.046
0.001,0.8690404485382459,0.8706376942387093,0.8931868281133375,0.8494193031160555,200.0,0.0,4595.0,,18.0,0.046
0.001,0.8690404485382459,0.8706376942387093,0.8931868281133375,0.8494193031160555,200.0,0.0,4795.0,,19.0,0.046
0.001,0.8690404485382459,0.8706376942387093,0.8931868281133375,0.8494193031160555,200.0,0.0,4995.0,,20.0,0.046
0.001,0.8690404485382459,0.8706376942387093,0.8931868281133375,0.8494193031160555,200.0,0.0,5195.0,,21.0,0.046
0.001,0.869440929114938,0.873807292128736,0.8958971880892539,0.8530236283062839,200.0,0.0,5395.0,,22.0,0.046
0.001,0.869440929114938,0.873807292128736,0.8958971880892539,0.8530236283062839,200.0,0.0,5595.0,,23.0,0.046
0.001,0.869440929114938,0.873807292128736,0.8958971880892539,0.8530236283062839,200.0,0.0,5795.0,,24.0,0.046
0.001,0.869440929114938,0.873807292128736,0.8958971880892539,0.8530236283062839,200.0,0.0,5995.0,,25.0,0.046
0.001,0.869440929114938,0.873807292128736,0.8958971880892539,0.8530236283062839,200.0,0.0,6195.0,,26.0,0.046
0.001,0.875440929114938,0.873807292128736,0.8958971880892539,0.8530236283062839,200.0,0.0,6395.0,,27.0,0.046
0.001,0.875440929114938,0.873807292128736,0.8958971880892539,0.8530236283062839,200.0,0.0,6595.0,,28.0,0.046
0.001,0.875440929114938,0.873807292128736,0.8958971880892539,0.8530236283062839,200.0,0.0,6795.0,,29.0,0.046
0.001,0.875440929114938,0.873807292128736,0.8958971880892539,0.8530236283062839,200.0,0.0,6995.0,,30.0,0.046
0.001,0.875440929114938,0.873807292128736,0.8958971880892539,0.8530236283062839,200.0,0.0,7195.0,,31.0,0.046
0.001,0.875440929114938,0.873807292128736,0.8958971880892539,0.8530236283062839,200.0,0.0,7395.0,,32.0,0.046
0.001,0.875440929114938,0.873807292128736,0.8958971880892539,0.8530236283062839,200.0,0.0,7595.0,,33.0,0.046
0.001,0.875440929114938,0.873807292128736,0.8958971880892539,0.8530236283062839,200.0,0.0,7795.0,,34.0,0.046
0.001,0.875440929114938,0.873807292128736,0.8958971880892539,0.8530236283062839,200.0,0.0,7995.0,,35.0,0.046
0.001,0.875440929114938,0.873807292128736,0.8958971880892539,0.8530236283062839,200.0,0.0,8195.0,,36.0,0.046
0.001,0.875440929114938,0.873807292128736,0.8958971880892539,0.8530236283062839,200.0,0.0,8395.0,,37.0,0.046
0.001,0.8806447737284742,0.8764848154594672,0.8970732071612614,0.8570284340732042,200.0,0.0,8595.0,,38.0,0.046
0.001,0.8806447737284742,0.8764848154594672,0.8970732071612614,0.8570284340732042,200.0,0.0,8795.0,,39.0,0.046
0.001,0.8806447737284742,0.8764848154594672,0.8970732071612614,0.8570284340732042,200.0,0.0,8995.0,,40.0,0.046
0.001,0.8806447737284742,0.8764848154594672,0.8970732071612614,0.8570284340732042,200.0,0.0,9195.0,,41.0,0.046
0.001,0.8806447737284742,0.8764848154594672,0.8970732071612614,0.8570284340732042,200.0,0.0,9395.0,,42.0,0.046
0.001,0.8806447737284742,0.8764848154594672,0.8970732071612614,0.8570284340732042,200.0,0.0,9595.0,,43.0,0.046
0.001,0.8806447737284742,0.8764848154594672,0.8970732071612614,0.8570284340732042,200.0,0.0,9795.0,,44.0,0.046
0.001,0.8806447737284742,0.8764848154594672,0.8970732071612614,0.8570284340732042,200.0,0.0,9995.0,,45.0,0.046
0.001,0.8806447737284742,0.8764848154594672,0.8970732071612614,0.8570284340732042,8.0,0.0,10003.0,,46.0,0.046
