percentage,accuracy,y_min,y_max
0.0994701589523143,0.686824,0.686824,0.686824
0.11946416075177446,0.7348918702442931,0.7260953143772527,0.7489106928313977
0.13945816255123464,0.7645841676678681,0.7589106928313977,0.7705246295554665
0.15945216435069479,0.7800026698705113,0.7709251101321586,0.7893472166599921
0.17944616615015496,0.7931517821385663,0.7869443331998398,0.8021625951141371
0.19944016794961514,0.8034975303697772,0.7961553864637565,0.8145774929915899
0.2194341697490753,0.8131090642103858,0.8057669203043653,0.8197837404885863
0.23942817154853543,0.8193165131491121,0.8157789347216658,0.8241890268321986
0.2594221733479956,0.8275263649712988,0.8225871045254305,0.8350020024028835
0.27941617514745576,0.8358697103190496,0.8269923908690429,0.8410092110532639
0.2994101769469159,0.8412761981043918,0.8329995995194233,0.8466159391269523
0.3194041787463761,0.8484848484848485,0.8434120945134161,0.8598317981577893
0.3393981805458362,0.8538913362701908,0.8490188225871045,0.8598317981577893
0.3593921823452964,0.856494460018689,0.8506207448938726,0.8618342010412495
0.37938618414475656,0.8612334801762115,0.855826992390869,0.8670404485382459
0.39938018594421676,0.8641035909758378,0.8570284341209451,0.8682418902683221
0.4193741877436769,0.8659725003337337,0.8590308370044053,0.8706447737284742
0.4393681895431371,0.8676411694032838,0.8638366039247096,0.8706447737284742
0.4593621913425972,0.869042851421706,0.8642370845014017,0.8718462154585502
0.4793561931420574,0.8699773061006542,0.8662394873848618,0.8726471766119344
0.4993501949415176,0.8703777866773462,0.8670404485382459,0.8730476571886263
0.5193441967409776,0.8709136706714725,0.8670404485382459,0.875462
0.5393381985404379,0.8719148721132024,0.8682418902683221,0.875462
0.5593322003398981,0.8727158332665866,0.8690428514217059,0.875462
0.5793262021393581,0.8735187043118408,0.8710452543051662,0.875462
0.5993202039388184,0.8739859316513147,0.8714457348818583,0.875462
0.6193142057382786,0.8741880818315311,0.8714457348818583,0.875462
0.6393082075377386,0.8747907125884393,0.8726471766119344,0.875462
0.6593022093371989,0.8747907125884393,0.8726471766119344,0.875462
0.6792962111366591,0.8747907125884393,0.8726471766119344,0.875462
0.699290212936119,0.8749909528767854,0.8738486183420104,0.875462
0.7192842147355795,0.8751911931651314,0.8742490989187024,0.875462
0.7392782165350394,0.8752598498197837,0.8742490989187024,0.875462
0.7592722183344996,0.8752598498197837,0.8742490989187024,0.875462
0.7792662201339599,0.8752598498197837,0.8742490989187024,0.875462
0.79926022193342,0.8754619999999999,0.875462,0.875462
0.8192542237328801,0.8754619999999999,0.875462,0.875462
0.8392482255323405,0.8754619999999999,0.875462,0.875462
0.8592422273318004,0.8754619999999999,0.875462,0.875462
0.8792362291312606,0.8754619999999999,0.875462,0.875462
0.8992302309307209,0.8754619999999999,0.875462,0.875462
0.9192242327301808,0.8754619999999999,0.875462,0.875462
0.9392182345296413,0.8754619999999999,0.875462,0.875462
0.9592122363291012,0.8754619999999999,0.875462,0.875462
0.9792062381285614,0.8754619999999999,0.875462,0.875462
0.9992002399280215,0.8754619999999999,0.875462,0.875462
1.0,0.8754619999999999,0.875462,0.875462
